roll_no,session_id,status
CS2301,1,present
CS2302,1,absent
CS2303,1,present
CS2304,1,absent
CS2305,1,present
CS2306,1,present
CS2301,2,present
CS2302,2,present
CS2303,2,absent
CS2304,2,absent
CS2305,2,present
CS2306,2,present
CS2301,3,present
CS2302,3,absent
CS2303,3,present
CS2304,3,present
CS2305,3,absent
CS2306,3,leave
CS2301,4,absent
CS2302,4,present
CS2303,4,present
CS2304,4,absent
CS2305,4,present
CS2306,4,leave
CS2101,16,present
CS2102,16,absent
CS2103,16,present
CS2101,17,present
CS2102,17,present
CS2103,17,absent
CS2101,18,absent
CS2102,18,present
CS2103,18,present
CS2101,19,present
CS2102,19,absent
CS2103,19,present
CS2101,20,present
CS2102,20,present
CS2103,20,absent
EC2301,21,present
EC2302,21,absent
EC2301,22,present
EC2302,22,present
EC2301,23,absent
EC2302,23,present
EC2301,24,present
EC2302,24,absent
EC2301,25,present
EC2302,25,present
CS2301,5,present
CS2302,5,absent
CS2303,5,present
CS2304,5,absent
CS2305,5,present
CS2306,5,present
